Title,Author,Year,Contemporary,Mystery,Romantic,Historical,Fantasy,SciFi/Dystopia
Alive,Chandler Baker,2016,y,y,y,n,y,n
All the Bright Places,Jennifer Niven,2016,y,n,n,n,n,n
The Game of Love and Death,Martha Brockenbrough,2016,n,n,y,y,y,n
Six of Crows,Leigh Bardugo,2016,n,n,n,n,y,n
"Everything, Everything",Nicola Yoon,2016,y,n,y,n,n,n
Every Last Word,Tamara Ireland Stone,2016,y,n,y,n,n,n
The Novice,Taran Matharu,2016,n,n,n,n,y,n
Illuminae,"Arnie Kaufman, Jay Kristoff",2016,n,n,n,n,n,y
When,Victoria Laurie,2016,y,y,n,n,y,n
Suicide Notes from Beautiful Girls,Lynn Weingarten,2016,y,y,n,n,n,n
The Shadow Throne,Jennifer A. Nielsen,2015,n,n,n,n,y,n
I Become Shadow,Joe Shine,2015,n,n,y,n,n,y
To All the Boys I've Loved Before,Jenny Han,2015,y,n,y,n,n,n
My Life with the Walter Boys,Ali Novak,2015,y,n,y,n,n,n
Heir of Fire,Sarah J. Maas,2015,n,n,y,n,n,n
The Bane Chronicles,Cassandra Clare,2015,n,n,n,n,y,n
The Young Elites,Marie Lu,2015,n,n,y,n,y,y
The Kiss of Deception,Mary E. Pearson,2015,n,n,y,y,n,n
Since You've Been Gone,Morgan Matson,2015,y,n,y,n,n,n
The Geography of You and Me,Jennifer E. Smith,2015,y,n,y,n,n,n
Eleanor & Park,Rainbow Rowell,2014,y,n,y,n,n,n
Splintered,A.G. Howard,2014,n,n,y,n,y,n
The Rithmatist,Brandon Sanderson,2014,n,y,n,n,y,y
The 5th Wave,Rick Yancey,2014,n,n,n,n,n,y
Sky on Fire,Emmy Laybourne,2014,n,n,n,n,n,y
Earth Girl,Janet Edwards,2014,n,n,n,n,n,y
The Testing,Joelle Charbonneau,2014,n,n,n,n,n,y
Steelheart,Brandon Sanderson,2014,n,n,n,n,y,y
Siege and Storm,Leigh Bardugo,2014,n,n,y,n,y,n
The Eye of Minds,James Dashner,2014,n,y,n,n,y,y
Code Name Verity,Elizabeth Wein,2013,n,n,n,y,n,n
The False Prince,Jennifer A. Nielsen,2013,n,n,n,n,y,n
Insurgent,Veronica Roth,2013,n,n,n,n,y,y
Pushing the Limits,Katie McGarry,2013,y,n,y,n,n,n
Poison Princess,Kresley Cole,2013,n,n,n,n,y,y
The Raven Boys,Maggie Steifvater,2013,n,n,y,n,y,n
Crewel,Gennifer Albin,2013,n,n,y,n,y,y
Every Day,David Levithan,2013,y,n,y,n,y,y
Kill Me Softly,Sarah Cross,2013,n,n,y,n,y,n
Butter,Erin Jade Lange,2013,y,n,n,n,n,n
Divergent,Veronica Roth,2012,n,n,y,n,y,y
The Fault in Our Stars,John Green,2012,y,n,y,n,n,n
Legend,Marie Lu,2012,n,n,y,n,y,y
Miss Peregrine's Home for Peculiar Children,Ransom Riggs,2012,n,y,n,y,y,y
What Happened to Goodbye,Sarah Dessen,2012,y,n,y,n,n,n
Across the Universe,Beth Revis,2012,n,n,y,n,n,y
Cinder,Marissa Meyer,2012,n,n,n,n,y,y
The Scorpio Races,Maggie Stiefvater,2012,n,n,y,n,y,n
Where She Went,Gayle Forman,2012,y,n,y,n,n,n
Abandon,Meg Cabot,2012,n,n,y,n,y,n
Clockwork Angel,Cassandra Clare,2011,n,n,y,n,y,y
Mockingjay,Suzanne Collins,2011,n,n,y,n,y,y
Crescendo,Becca Fitzpatrick,2011,n,n,y,n,y,n
I Am Number Four,Pittacus Lore,2011,n,n,y,n,y,y
The Iron King,Julie Kagawa,2011,n,n,y,n,y,n
Matched,Ally Condie,2011,n,n,y,n,n,y
Angel,James Patterson,2011,n,n,y,n,y,y
Paranormalcy,Kiersten White,2011,n,n,y,n,y,n
Before I Fall,Lauren Oliver,2011,y,n,y,n,y,n
Nightshade,Andrea Cremer,2011,n,n,y,n,y,n
Catching Fire,Suzanne Collins,2010,n,n,y,n,y,y
City of Glass,Cassandra Clare,2010,n,n,y,n,y,n
Heist Society,Ally Carter,2010,y,y,y,n,n,n
Shiver,Maggie Stiefvater,2010,n,n,y,n,y,n
"Hush, Hush",Becca Fitzpatrick,2010,n,n,y,n,y,n
Beautiful Creatures,"Kami Garcia, Margaret Stohl",2010,n,n,y,n,y,n
Along for the Ride,Sarah Dessen,2010,y,n,y,n,n,n
If I Stay,Gayle Forman,2010,y,n,y,n,n,n
Fire,Kristin Cashore,2010,n,n,y,n,y,n
Wintergirls,Laurie Halse Anderson,2010,y,n,n,n,n,n
