Title,Author,Year,Contemporary,Mystery,Romantic,Historical,Fantasy,SciFi/Dystopia,Notes,Read
Alive,Chandler Baker,2016,y,y,y,n,y,n,"From the summary, it seems to be some sort of cross between The Fault in Our Stars and Twilight--basically, some girl has her life changed by some boy, also there's some concept of illness and paranormal activity. Not really my cup of tea.",n
All the Bright Places,Jennifer Niven,2016,y,n,n,n,n,n,"Compelled by my research on these books, I decided this book is on my to-read list. It's another book about mental illness, a category which I started liking in 2009.",n
The Game of Love and Death,Martha Brockenbrough,2016,n,n,y,y,y,n,"It's a Depression-era historical fiction book about star-crossed lovers. I think I would like it, save for all the romantic parts.",n
Six of Crows,Leigh Bardugo,2016,n,n,n,n,y,n,"This is the first book in a fantasy-adventure series. I immediately stopped reading the description after I read ""Break into the notorious Ice Court"". I have a hard time being invested in high fantasy books.",n
"Everything, Everything",Nicola Yoon,2016,y,n,y,n,n,n,"This is like The Fault in Our Stars, except that I haven't read it. They made it into a movie, though.",n
Every Last Word,Tamara Ireland Stone,2016,y,n,y,n,n,n,"The premise of this book is compelling, since dealing with mental illness is a topic that is becoming more popular in YA recently, but this one centers around a character with OCD rather than depression. I added this to my to-read list, even though I wasn't aware of this book until I started this project.",n
The Novice,Taran Matharu,2016,n,n,n,n,y,n,"With fantasy adventure books, it's hard enough for me to read the summary, let alone the whole book. Here's a sample of the description: ""Fletcher is put through grueling training as a battlemage to fight in the Hominum Empire’s war against orcs.""  That means nothing to me. ",n
Illuminae,"Arnie Kaufman, Jay Kristoff",2016,n,n,n,n,n,y,"An entire, potentially compelling, dystopian world is constructed for a series about a girl having to work with her ex-boyfriend.  I hope reading this description was as disappointing for you as reading the summary was for me. ",n
When,Victoria Laurie,2016,y,y,n,n,y,n,"A fun mystery book about a girl who sees others' death dates. Not that I've read it, but I might now that I've learned about it.",n
Suicide Notes from Beautiful Girls,Lynn Weingarten,2016,y,y,n,n,n,n,"First sentence in the description: ""Pitched as Gone Girl meets Thirteen Reasons Why."" Seems to me to be using suicide as a ploy for some non-mental health related mystery, but what do I know, I haven't read this.",n
The Shadow Throne,Jennifer A. Nielsen,2015,n,n,n,n,y,n,"The third book in a trilogy I've never heard of, The Shadow Throne is considered a YA/children's fantasy book. I don't really have anything to add to that except that I have no plans to read it.",n
I Become Shadow,Joe Shine,2015,n,n,y,n,n,y,"Ah, a convoluted sci-fi/spy adventure book. I hope the worldbuilding supports the complexity of the summary provided on Goodreads.",n
To All the Boys I've Loved Before,Jenny Han,2015,y,n,y,n,n,n,"The title almost sounds compelling, as if perhaps it's about some sort of mystery. Alas, it's just another romance, so I don't read a bit.",n
My Life with the Walter Boys,Ali Novak,2015,y,n,y,n,n,n,"""Now Jackie must trade in her Type A personality and New York City apartment for a Colorado ranch and all the wild Walter boys who come with it."" I, myself, had to move from New York to North Carolina...and yet, I have no sympathy for this main character and this book seems like another predictable YA romance.",n
Heir of Fire,Sarah J. Maas,2015,n,n,y,n,n,n,"Apparently, this is a sequel to another fantasy book I definitely didn't read.",n
The Bane Chronicles,"Cassandra Clare, Sarah Rees Brennand, and Maureen Johnson",2015,n,n,n,n,y,n,"This is a collection of fantasy short stories by three authorsabout the same guy. As a concept for novel creation, it sounds interesting. As a narrative, not so much.",n
The Young Elites,Marie Lu,2015,n,n,y,n,y,y,"A cross between sci-fi/dystopian and fantasy, this book has a pretentious name for a potentially gritty story. That said, as a post-Hunger Games dystopian book, the arc of the series seems predictable.",n
The Kiss of Deception,Mary E. Pearson,2015,n,n,y,y,n,n,I think the only category I like less than fantasy or romance is fantasy and romance about a princess.,n
Since You've Been Gone,Morgan Matson,2015,y,n,y,n,n,n,"It's like Paper Towns, in that I haven't read it, and is unlike Paper Towns, in that I don't plan on reading it.  But it is another book where a Manic Pixie Dream Girl disappears, leaving the main character to do their own shenanigans.",n
The Geography of You and Me,Jennifer E. Smith,2015,y,n,y,n,n,n,"The title reminded me of the maps from Ned Vizzini's ""It's Kind of a Funny Story"", except this book is just romantic fiction and therefore has nothing I find interesting, which is quite the opposite of Vizzini's novel.",n
Eleanor & Park,Rainbow Rowell,2014,y,n,y,n,n,n,"I heard all the hype about this book, and I quite liked the cover art. The problem is, I find romantic fiction largely uninteresting, so I never did anything besides briefly admire the cover art before browsing other books.",n
Splintered,A.G. Howard,2014,n,n,y,n,y,n,,n
The Rithmatist,Brandon Sanderson,2014,n,y,n,n,y,y,,n
The 5th Wave,Rick Yancey,2014,n,n,n,n,n,y,,n
Monument 14: Sky on Fire,Emmy Laybourne,2014,n,n,n,n,n,y,,n
Earth Girl,Janet Edwards,2014,n,n,n,n,n,y,,n
The Testing,Joelle Charbonneau,2014,n,n,n,n,n,y,,n
Steelheart,Brandon Sanderson,2014,n,n,n,n,y,y,,n
Siege and Storm,Leigh Bardugo,2014,n,n,y,n,y,n,,n
The Eye of Minds,James Dashner,2014,n,y,n,n,y,y,,n
Code Name Verity,Elizabeth Wein,2013,n,n,n,y,n,n,,n
The False Prince,Jennifer A. Nielsen,2013,n,n,n,n,y,n,,n
Insurgent,Veronica Roth,2013,n,n,n,n,y,y,,n
Pushing the Limits,Katie McGarry,2013,y,n,y,n,n,n,,n
Poison Princess,Kresley Cole,2013,n,n,n,n,y,y,,n
The Raven Boys,Maggie Steifvater,2013,n,n,y,n,y,n,,n
Crewel,Gennifer Albin,2013,n,n,y,n,y,y,,n
Every Day,David Levithan,2013,y,n,y,n,y,y,,n
Kill Me Softly,Sarah Cross,2013,n,n,y,n,y,n,,n
Butter,Erin Jade Lange,2013,y,n,n,n,n,n,,n
Divergent,Veronica Roth,2012,n,n,y,n,y,y,"Because of Matched, I grew wary of YA dystopian novels, and never even read it, even though I did find the summary somewhat interesting.",n
The Fault in Our Stars,John Green,2012,y,n,y,n,n,n,"I read this once the movie was going to come out, since, just as with Twilight, I was invited to see the movie with friends. I actually did not end up seeing the movie with them, and honestly I wasn't as moved by the book as many others. It was still good though--I mostly read it because I like John Green as a person.",y
Legend,Marie Lu,2012,n,n,y,n,y,y,,n
Miss Peregrine's Home for Peculiar Children,Ransom Riggs,2012,n,y,n,y,y,y,"Upon its release, I didn not realize it was a YA book, so I never looked at it. I did see the movie when it came out, though, and I would have liked it.",n
What Happened to Goodbye,Sarah Dessen,2012,y,n,y,n,n,n,,n
Across the Universe,Beth Revis,2012,n,n,y,n,n,y,,n
Cinder,Marissa Meyer,2012,n,n,n,n,y,y,,n
The Scorpio Races,Maggie Stiefvater,2012,n,n,y,n,y,n,,n
Where She Went,Gayle Forman,2012,y,n,y,n,n,n,"Personally, I didn't understand why the follow up to If I Stay was so popular, since I didn't think the original book was compelling enough by itself.",n
Abandon,Meg Cabot,2012,n,n,y,n,y,n,,n
Clockwork Angel,Cassandra Clare,2011,n,n,y,n,y,y,"What a surprise, another YA dystopian book in the post-Hunger Games world.",n
Mockingjay,Suzanne Collins,2011,n,n,y,n,y,y,"The end of the Hunger Games series was a little less than satisfying, but it was relieving. That was the last series that I ever read where I had to wait for the next book to be written.  Awaiting the continuation of narrative is a pain I appreciate largely from a nostalgic lens.",y
Crescendo,Becca Fitzpatrick,2011,n,n,y,n,y,n,,n
I Am Number Four,Pittacus Lore,2011,n,n,y,n,y,y,,n
The Iron King,Julie Kagawa,2011,n,n,y,n,y,n,,n
