Title,Author,Year,Contemporary,Mystery,Romantic,Historical,Fantasy,SciFi/Dystopia,Notes,Read
Alive,Chandler Baker,2016,y,y,y,n,y,n,"From the summary, it seems to be some sort of cross between The Fault in Our Stars and Twilight--basically, some girl has her life changed by some boy, also there's some concept of illness and paranormal activity. Not really my cup of tea.",n
All the Bright Places,Jennifer Niven,2016,y,n,n,n,n,n,"Compelled by my research on these books, I decided this book is on my to-read list. It's another book about mental illness, a category which I started liking in 2009.",n
The Game of Love and Death,Martha Brockenbrough,2016,n,n,y,y,y,n,"It's a Depression-era historical fiction book about star-crossed lovers. I think I would like it, save for all the romantic parts.",n
Six of Crows,Leigh Bardugo,2016,n,n,n,n,y,n,"This is the first book in a fantasy-adventure series. I immediately stopped reading the description after I read ""Break into the notorious Ice Court"". I have a hard time being invested in high fantasy books.",n
"Everything, Everything",Nicola Yoon,2016,y,n,y,n,n,n,"This is like The Fault in Our Stars, except that I haven't read it. They made it into a movie, though.",n
Every Last Word,Tamara Ireland Stone,2016,y,n,y,n,n,n,"The premise of this book is compelling, since dealing with mental illness is a topic that is becoming more popular in YA recently, but this one centers around a character with OCD rather than depression. I added this to my to-read list, even though I wasn't aware of this book until I started this project.",n
The Novice,Taran Matharu,2016,n,n,n,n,y,n,"With fantasy adventure books, it's hard enough for me to read the summary, let alone the whole book. Here's a sample of the description: ""Fletcher is put through grueling training as a battlemage to fight in the Hominum Empireês war against orcs.""  That means nothing to me. ",n
Illuminae,"Arnie Kaufman, Jay Kristoff",2016,n,n,n,n,n,y,"An entire, potentially compelling, dystopian world is constructed for a series about a girl having to work with her ex-boyfriend.  I hope reading this description was as disappointing for you as reading the summary was for me. ",n
When,Victoria Laurie,2016,y,y,n,n,y,n,"A fun mystery book about a girl who sees others' death dates. Not that I've read it, but I might now that I've learned about it.",n
Suicide Notes from Beautiful Girls,Lynn Weingarten,2016,y,y,n,n,n,n,"First sentence in the description: ""Pitched as Gone Girl meets Thirteen Reasons Why."" Seems to me to be using suicide as a ploy for some non-mental health related mystery, but what do I know, I haven't read this.",n
The Shadow Throne,Jennifer A. Nielsen,2015,n,n,n,n,y,n,"The third book in a trilogy I've never heard of, The Shadow Throne is considered a YA/children's fantasy book. I don't really have anything to add to that except that I have no plans to read it.",n
I Become Shadow,Joe Shine,2015,n,n,y,n,n,y,"Ah, a convoluted sci-fi/spy adventure book. I hope the worldbuilding supports the complexity of the summary provided on Goodreads.",n
To All the Boys I've Loved Before,Jenny Han,2015,y,n,y,n,n,n,"The title almost sounds compelling, as if perhaps it's about some sort of mystery. Alas, it's just another romance, so I don't read a bit.",n
My Life with the Walter Boys,Ali Novak,2015,y,n,y,n,n,n,"""Now Jackie must trade in her Type A personality and New York City apartment for a Colorado ranch and all the wild Walter boys who come with it."" I, myself, had to move from New York to North Carolina...and yet, I have no sympathy for this main character and this book seems like another predictable YA romance.",n
Heir of Fire,Sarah J. Maas,2015,n,n,y,n,n,n,"Apparently, this is a sequel to another fantasy book I definitely didn't read.",n
The Bane Chronicles,"Cassandra Clare, Sarah Rees Brennand, and Maureen Johnson",2015,n,n,n,n,y,n,"This is a collection of fantasy short stories by three authorsabout the same guy. As a concept for novel creation, it sounds interesting. As a narrative, not so much.",n
The Young Elites,Marie Lu,2015,n,n,y,n,y,y,"A cross between sci-fi/dystopian and fantasy, this book has a pretentious name for a potentially gritty story. That said, as a post-Hunger Games dystopian book, the arc of the series seems predictable.",n
The Kiss of Deception,Mary E. Pearson,2015,n,n,y,y,n,n,I think the only category I like less than fantasy or romance is fantasy and romance about a princess.,n
Since You've Been Gone,Morgan Matson,2015,y,n,y,n,n,n,"It's like Paper Towns, in that I haven't read it, and is unlike Paper Towns, in that I don't plan on reading it.  But it is another book where a Manic Pixie Dream Girl disappears, leaving the main character to do their own shenanigans.",n
The Geography of You and Me,Jennifer E. Smith,2015,y,n,y,n,n,n,"The title reminded me of the maps from Ned Vizzini's ""It's Kind of a Funny Story"", except this book is just romantic fiction and therefore has nothing I find interesting, which is quite the opposite of Vizzini's novel.",n
Eleanor & Park,Rainbow Rowell,2014,y,n,y,n,n,n,"I heard all the hype about this book, and I quite liked the cover art. The problem is, I find romantic fiction largely uninteresting, so I never did anything besides briefly admire the cover art before browsing other books.",n
Splintered,A.G. Howard,2014,n,n,y,n,y,n,"This is a strange, dark retelling set in the world of Alice in Wonderland while within the framework of the modern world.  It sounds captivatingƒbut I wouldn't know.",n
The Rithmatist,Brandon Sanderson,2014,n,y,n,n,y,y,"Ah, Brandon Sanderson, the quintessential YA Fantasy author, back at it again.",n
The 5th Wave,Rick Yancey,2014,n,n,n,n,n,y,"A sci-fi/dystopia series in which way too many waves have already occurred by the time it starts.  It seems intense, at the very least.",n
Monument 14: Sky on Fire,Emmy Laybourne,2014,n,n,n,n,n,y,"Surprise, a sci-fi/dystopian series.",n
Earth Girl,Janet Edwards,2014,n,n,n,n,n,y,"Hey, a sci-fi dystopia book, but this time most people don't live on earth.",n
The Testing,Joelle Charbonneau,2014,n,n,n,n,n,y,"Check this out: another dystopian romance, Hunger Games style! What a wild ride.",n
Steelheart,Brandon Sanderson,2014,n,n,n,n,y,y,"Brandon Sanderson, the prolific YA fantasy author, was popular with a few of my nerdy friends in high school.",n
Siege and Storm,Leigh Bardugo,2014,n,n,y,n,y,n,"Do you want to read a fantasy novel? The kind where the phrases ""Sun Summoner"" and ""Darkling"" and ""Shadow Fold"" are part of the description? I think I find the barrier to entry too high for many fantasy books because of these kinds of summaries with no explanation.",n
The Eye of Minds,James Dashner,2014,n,y,n,n,y,y,"The first in a series of dystopian books by James Dashner, the man who wrote Maze Runner, another book I haven't read. The difference is, I've heard of Maze Runner.",n
Code Name Verity,Elizabeth Wein,2013,n,n,n,y,n,n,"My favorite time period for historical fiction tends to be around WWII. And yet, the summary makes the book seem a little too straightforward, as if it will be a book about the cleverness and triumphs of two girls  rather than the darkness and gravity of the time period. But that's just me.",n
The False Prince,Jennifer A. Nielsen,2013,n,n,n,n,y,n,"This is a YA/Children's fantasy novel, which means that even in 2006, when I was 11, I still would have felt too grown up for it.",n
Insurgent,Veronica Roth,2013,n,n,n,n,y,y,"The second book in the Divergent series' popularity indicated to me that it was perhaps on par with the quality of the Hunger Games series, but since I never started the series, I never found out.",n
Pushing the Limits,Katie McGarry,2013,y,n,y,n,n,n,"I don't even want to talk about how stereotypical the ""popular hot guy meets loner 'weird'"" girl trope is.",n
Poison Princess,Kresley Cole,2013,n,n,n,n,y,y,"A combination dystopia, fantasy, and romance in 2013? Yeah, why not just combine all the popular YA genres at this time. ",n
The Raven Boys,Maggie Steifvater,2013,n,n,y,n,y,n,"Ah, a fantasy romance. A girl, a guy, and romance. But wait! There's clairvoyance and they might be star-crossed lovers!",n
Crewel,Gennifer Albin,2013,n,n,y,n,y,y,Premise: fantasy dystopia where people with special powers get to control everyone. Maybe I'll read it.,n
Every Day,David Levithan,2013,y,n,y,n,y,y,"A fantasy romance in which the main character Is male, and that's really the only characteristic that differentiates this from the other books of 2013.",n
Kill Me Softly,Sarah Cross,2013,n,n,y,n,y,n,Fairy tales for troubled teens: a title that seems more accurate than trying to trick me with a name very similar to a song Lauryn Hill performs quite well.,n
Butter,Erin Jade Lange,2013,y,n,n,n,n,n,"Mental health, obesity, and cyberbullying--I can only hope that this is well written, because I really don't want to be disappointed by this book if I read it.",n
Divergent,Veronica Roth,2012,n,n,y,n,y,y,"Because of Matched, I grew wary of YA dystopian novels, and never even read it, even though I did find the summary somewhat interesting.",n
